,code,n_k_d,time_steps,error_model,decoder,error_probability,measurement_error_probability,n_run,n_success,n_fail,n_logical_commutations,custom_totals,error_weight_total,error_weight_pvar,logical_failure_rate,physical_error_rate,wall_time,n,k,d,bias,decoder_chi
1,XZZX,"[1089, 1, 33]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3445,55,30,,953112,201.69505763265306,0.015714285714285715,0.2500621802439984,12669.517289316282,1089,1,33,50.0,12.0
0,XZZX,"[1521, 1, 39]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3456,44,23,,1329537,285.04335763265306,0.012571428571428572,0.24974866159481543,18891.586037185043,1521,1,39,50.0,12.0
1,XZZX,"[1521, 1, 39]",1,"Biased-depolarizing (bias=50, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,3500,3456,44,21,,1329537,285.04335763265306,0.012571428571428572,0.24974866159481543,18891.586037185043,1521,1,39,50.0,12.0
0,XZZX,"[225, 1, 15]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,969,31,26,,56432,39.941376,0.031,0.2508088888888889,398.59481268934906,225,1,15,1000.0,12.0
1,XZZX,"[225, 1, 15]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,969,31,5,,56432,39.941376,0.031,0.2508088888888889,398.59481268934906,225,1,15,1000.0,12.0
0,XZZX,"[441, 1, 21]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,991,9,8,,110264,77.440304,0.009,0.25003174603174605,1079.7126074116677,441,1,21,1000.0,12.0
1,XZZX,"[441, 1, 21]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,991,9,1,,110264,77.440304,0.009,0.25003174603174605,1079.7126074116677,441,1,21,1000.0,12.0
0,XZZX,"[729, 1, 27]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,996,4,4,,181785,137.612775,0.004,0.24936213991769549,2062.4700252804905,729,1,27,1000.0,12.0
1,XZZX,"[729, 1, 27]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,996,4,0,,181785,137.612775,0.004,0.24936213991769549,2062.4700252804905,729,1,27,1000.0,12.0
0,XZZX,"[1089, 1, 33]",1,"Biased-depolarizing (bias=1000, axis='Z')","Rotated planar XZ RMPS (chi=12, mode=c)",0.25,0.0,1000,998,2,2,,271693,202.210751,0.002,0.2494885215794307,3510.1246365495026,1089,1,33,1000.0,12.0
